MATERIALES;;;;;;;;;;;;;
"Importante: Los cambios realizados en esta hoja afectan a los resultados de las hojas ""Configuración"", ""Transmitancia"" y ""Condensación"".";"Importante: Los cambios realizados en esta hoja afectan a los resultados de las hojas ""Configuración"", ""Transmitancia"" y ""Condensación"".";"Importante: Los cambios realizados en esta hoja afectan a los resultados de las hojas ""Configuración"", ""Transmitancia"" y ""Condensación"".";;;;;;;;;;;
Biblioteca de materiales del complejo constructivo;;;;;;;;;;;;;
"A continuación debe seleccionar todos los materiales que serán parte del elemento constructivo a describir en la hoja ""Configuración"". Para ello debe seleccionar primero la biblioteca donde figura el material, ya sea la Biblioteca de Usuario o las Bibliotecas de Materiales por Defecto. El espesor de los materiales se modifica en la hoja ""Configuración"". Puede agregar más filas a la tabla si es necesario mediante el botón del lado derecho con el signo ""+"".";;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
N;Nombre largo;Tipo de material;Biblioteca;Material;Abreviatura;Propiedad térmica;Valor propiedad térmica;Propiedad difusión de vapor;Valor propiedad difusión de vapor;;;;
1;#N/A;;;;;;;;;;;;
2;#N/A;;;;;;;;;;;;
3;#N/A;;;;;;;;;;;;
4;#N/A;;;;;;;;;;;;
5;#N/A;;;;;;;;;;;;
6;#N/A;;;;;;;;;;;;
7;#N/A;;;;;;;;;;;;
8;#N/A;;;;;;;;;;;;
9;#N/A;;;;;;;;;;;;
10;#N/A;;;;;;;;;;;;
11;#N/A;;;;;;;;;;;;
12;#N/A;;;;;;;;;;;;
13;#N/A;;;;;;;;;;;;
14;#N/A;;;;;;;;;;;;
15;#N/A;;;;;;;;;;;;
;;;;;;;;;;;;;
Biblioteca de materiales de usuario;;;;;;;;;;;;;
"En esta tabla puede incorporar materiales que no existan en la biblioteca de materiales por defecto y para los cuales dispone de los antecedentes que sustentan las propiedades higrotérmicas. Puede agregar más filas a la tabla si es necesario mediante el botón del lado derecho con el signo ""+"".";;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;Nombre largo;Tipo de material;N;Material;"Espesor nominal
[m]";Propiedad térmica;Valor propiedad térmica;Origen del valor térmico;Propiedad difusión de vapor;Valor propiedad difusión de vapor;Origen del valor de difusión de vapor;;
;;;1;;;;;;;;;;
;;;2;;;;;;;;;;
;;;3;;;;;;;;;;
;;;4;;;;;;;;;;
;;;5;;;;;;;;;;
;;;;;;;;;;;;;
Biblioteca de materiales por defecto DITEC (ensayados en Chile);;;;;;;;;;;;;
Lista actualizada a noviembre 2025;;;;;;;;;;;;;
;;;;;;;;;;;;;
;Nombre largo;Tipo de material;N;Material;"Espesor nominal
[m]";Propiedad térmica;Valor propiedad térmica;Propiedad difusión de vapor;Valor propiedad difusión de vapor;Observaciones;;;
;Adhesivo EIFS, R = 0 [m²K/W], ? = 60 [];;1;Adhesivo EIFS;0,001;R [m²K/W];0;? [];60;Espesor < 3 mm;;;
;Adobe de celulosa, 72% celulosa, 14% viruta y 14% arcilla ? = 584 kg/m³, ? = 0,181 [W/mK], ? = 10,84 [];;2;Adobe de celulosa, 72% celulosa, 14% viruta y 14% arcilla ? = 584 kg/m³;0,0025;? [W/mK];0,181;? [];10,84;;;;
;Cáscara de ladrillo hecho a máquina Princesa, ? = 0,252 [W/mK], ? = 140 [];;3;Cáscara de ladrillo hecho a máquina Princesa;0,009;? [W/mK];0,252;? [];140;;;;
;Celulosa proyectada ? = 75 kg/m³, ? = 0,04 [W/mK], ? = 3 [];Aislante;4;Celulosa proyectada ? = 75 kg/m³;0,044;? [W/mK];0,04;? [];3;;;;
;Corcho aglomerado ? = 105-125 kg/m³, ? = 0,046 [W/mK], ? = 16 [];Aislante;5;Corcho aglomerado ? = 105-125 kg/m³;0,04;? [W/mK];0,046;? [];16;? NCh853.2021;;;
;Enchape cerámico, ? = 1,75 [W/mK], ? = 308 [];Revestimiento;6;Enchape cerámico;0,013;? [W/mK];1,75;? [];308;? NCh853.2021;;;
;Enchape de madera contrachapada con resina fenólica ? = 595 kg/m³, ? = 0,23 [W/mK], ? = 134 [];Revestimiento;7;Enchape de madera contrachapada con resina fenólica ? = 595 kg/m³;0,003;? [W/mK];0,23;? [];134;? NCh853.2021;;;
;Enchape de madera contrachapada con resina ureica ? = 635 kg/m³, ? = 0,23 [W/mK], ? = 207 [];Revestimiento;8;Enchape de madera contrachapada con resina ureica ? = 635 kg/m³;0,003;? [W/mK];0,23;? [];207;? NCh853.2021;;;
;EPS ? = 10 kg/m³ - archipex, ? = 0,043 [W/mK], ? = 31 [];Aislante;9;EPS ? = 10 kg/m³ - archipex;0,05;? [W/mK];0,043;? [];31;? NCh853.2021;;;
;EPS ? = 15 kg/m³ - archipex, ? = 0,0413 [W/mK], ? = 35 [];Aislante;10;EPS ? = 15 kg/m³ - archipex;0,05;? [W/mK];0,0413;? [];35;? NCh853.2021;;;
;EPS ? = 20 kg/m³ - archipex, ? = 0,0384 [W/mK], ? = 38 [];Aislante;11;EPS ? = 20 kg/m³ - archipex;0,05;? [W/mK];0,0384;? [];38;? NCh853.2021;;;
;EPS ? = 25 kg/m³ - archipex, ? = 0,0384 [W/mK], ? = 46 [];Aislante;12;EPS ? = 25 kg/m³ - archipex;0,05;? [W/mK];0,0384;? [];46;? NCh853.2021;;;
;EPS ? = 30 kg/m³ - archipex, ? = 0,0361 [W/mK], ? = 55 [];Aislante;13;EPS ? = 30 kg/m³ - archipex;0,05;? [W/mK];0,0361;? [];55;? NCh853.2021;;;
;Espuma niveladora, R = 0 [m²K/W], ? = 3029 [];Aislante;14;Espuma niveladora;0,002;R [m²K/W];0;? [];3029;Espesor < 3 mm;;;
;Estuco EIFS, R = 0 [m²K/W], ? = 13 [];;15;Estuco EIFS;0,003;R [m²K/W];0;? [];13;Espesor < 3 mm;;;
;Estuco cemento (18% agua), ? = 1,4 [W/mK], ? = 32 [];;16;Estuco cemento (18% agua);0,013;? [W/mK];1,4;? [];32;? NCh853.2021;;;
;Fibra de poliéster ? = 8 kg/m³, ? = 0,06 [W/mK], ? = 2 [];Aislante;17;Fibra de poliéster ? = 8 kg/m³;0,055;? [W/mK];0,06;? [];2;? NCh853.2021;;;
;Fibrocemento ? = 1250 kg/m³, ? = 0,23 [W/mK], ? = 194 [];Revestimiento;18;Fibrocemento ? = 1250 kg/m³;0,006;? [W/mK];0,23;? [];194;? NCh853.2021;;;
;Fibrocemento ? = 1350 kg/m³, ? = 0,23 [W/mK], ? = 200 [];Revestimiento;19;Fibrocemento ? = 1350 kg/m³;0,008;? [W/mK];0,23;? [];200;? NCh853.2021;;;
;Fibrocemento Volcanboard, ? = 0,23 [W/mK], ? = 117,72 [];;20;Fibrocemento Volcanboard;0,006;? [W/mK];0,23;? [];117,72;? NCh853.2021;;;
;Fibrocemento Simplísima - Cedral ETEX, ? = 0,23 [W/mK], ? = 321 [];;21;Fibrocemento Simplísima - Cedral ETEX;0,006;? [W/mK];0,23;? [];321;? NCh853.2021;;;
;Fieltro M-1: 10-40, R = 0 [m²K/W], ? = 536 [];B. Humedad;22;Fieltro M-1: 10-40;0,00027;R [m²K/W];0;? [];536;Espesor < 3 mm;;;
;Fieltro M-2: 15-40 (N°15), R = 0 [m²K/W], ? = 365 [];B. Humedad;23;Fieltro M-2: 15-40 (N°15);0,00033;R [m²K/W];0;? [];365;Espesor < 3 mm;;;
;Fieltro M-3: 15 Libras, R = 0 [m²K/W], ? = 294 [];B. Humedad;24;Fieltro M-3: 15 Libras;0,00037;R [m²K/W];0;? [];294;Espesor < 3 mm;;;
;Hormigón premezclado H20 (3L agua por saco) ? = 2100 kg/m³, ? = 1,63 [W/mK], ? = 44 [];;25;Hormigón premezclado H20 (3L agua por saco) ? = 2100 kg/m³;0,018;? [W/mK];1,63;? [];44;? NCh853.2021;;;
;Impermeabilizante, R = 0 [m²K/W], ? = 4545 [];;26;Impermeabilizante;0,0001;R [m²K/W];0;? [];4545;Espesor < 3 mm;;;
;Klober, R = 0 [m²K/W], ? = 549 [];B. Humedad;27;Klober;0,000175;R [m²K/W];0;? [];549;Espesor < 3 mm;;;
;Ladrillo fiscal ? = 1500 kg/m³, ? = 0,5 [W/mK], ? = 9 [];;28;Ladrillo fiscal ? = 1500 kg/m³;0,046;? [W/mK];0,5;? [];9;? NCh853.2021;;;
;Lana de oveja ? = 12 kg/m³, ? = 0,043 [W/mK], ? = 2 [];Aislante;29;Lana de oveja ? = 12 kg/m³;0,05;? [W/mK];0,043;? [];2;? NCh853.2021;;;
;Lana de vidrio ? = 11 kg/m³, ? = 0,042 [W/mK], ? = 5 [];Aislante;30;Lana de vidrio ? = 11 kg/m³;0,05;? [W/mK];0,042;? [];5;? NCh853.2021;;;
;Lana de vidrio en colchoneta con papel a 1 cara ? = 35 kg/m³, ? = 0,042 [W/mK], ? = 4 [];Aislante;31;Lana de vidrio en colchoneta con papel a 1 cara ? = 35 kg/m³;0,1;? [W/mK];0,042;? [];4;;;;
;Lana mineral en colchoneta ? = 36 kg/m³, ? = 0,042 [W/mK], ? = 11 [];Aislante;32;Lana mineral en colchoneta ? = 36 kg/m³;0,04;? [W/mK];0,042;? [];11;? NCh853.2021;;;
;Lana vidrio en rollo ? = 12 kg/m³, ? = 0,042 [W/mK], ? = 2 [];Aislante;33;Lana vidrio en rollo ? = 12 kg/m³;0,05;? [W/mK];0,042;? [];2;? NCh853.2021;;;
;Lana de vidrio Aislanglass ® ? = 14 kg/m³, ? = 0,04 [W/mK], ? = 2,88 [];;34;Lana de vidrio Aislanglass ® ? = 14 kg/m³;0,04;? [W/mK];0,04;? [];2,88;;;;
